id,title,tags,cluster
213,North by Northwest,"Thriller, Adventure, Doreen Lang, Lloyd Williams, Eugene Jackson, Alfred Hitchcock",1
214,Saw III,"Horror, Thriller, Crime, Bahar Soomekh, Niamh Wilson, Timothy Burd, Darren Lynn Bousman",2
215,Saw II,"Horror, Shawnee Smith, Noam Jenkins, Leigh Whannell, Darren Lynn Bousman",3
217,Indiana Jones and the Kingdom of the Crystal Skull,"Adventure, Action, Celia Hemken, Josh Mills, Vincent Foster, Steven Spielberg",1
218,The Terminator,"Action, Thriller, Science Fiction, John Stuart West, Webster Williams, Marianne Muellerleile, James Cameron",4
219,Volver,"Comedy, Drama, Romance, Yolanda Ramos, Carmen Maura, Eli Iranzo, Pedro Almodóvar",6
221,Rebel Without a Cause,"Drama, Nelson Leigh, House Peters Jr., Rochelle Hudson, Nicholas Ray",3
223,Rebecca,"Mystery, Romance, Thriller, Billy Bevan, Phyllis Woodward, Gino Corrado, Alfred Hitchcock",0
226,Boys Don't Cry,"Crime, Drama, Jeannetta Arnette, Michelle Fairbanks, Jerry Haynes, Kimberly Peirce",3
227,The Outsiders,"Crime, Drama, Linda Nystedt, C. Thomas Howell, Cam Neely, Francis Ford Coppola",3
229,Bride of Frankenstein,"Horror, Science Fiction, O. P. Heggie, Grace Cunard, Marie DeForrest, James Whale",4
231,Syriana,"Drama, Thriller, Chris Cooper, Tim Blake Nelson, Elena Rosa, Stephen Gaghan",3
232,Rumble Fish,"Crime, Drama, Romance, Nicolas Cage, Keeva Clayton, Kristi Somers, Francis Ford Coppola",0
234,The Cabinet of Dr. Caligari,"Drama, Horror, Thriller, Crime, Conrad Veidt, Henri Peters-Arnolds, Ludwig Rex, Robert Wiene",2
235,Stand by Me,"Crime, Drama, Bruce Kirby, Susan Thorpe, Marshall Bell, Rob Reiner",3
236,Muriel's Wedding,"Comedy, Drama, Romance, Kirsty Hinchcliffe, Dene Kermond, Troy Hardy, P.J. Hogan",6
